대지위치,위도,경도
경상북도 영천시 망정동 185-1번지,35.97623418,128.95054384
경상북도 영천시 망정동 185-3번지,35.97642756,128.95064305
경상북도 영천시 망정동 185-7번지,35.97608043,128.95020194
경상북도 영천시 망정동 185-8번지,35.97647623,128.95085842
경상북도 영천시 망정동 185-9번지,35.97652089,128.95094898
경상북도 영천시 망정동 186-2번지,35.97585483,128.95016125
경상북도 영천시 망정동 186-5번지,35.97606686,128.95048751
경상북도 영천시 망정동 186-6번지,35.97613026,128.95058407
경상북도 영천시 망정동 187번지,35.97601135,128.95063191
경상북도 영천시 망정동 188-4번지,35.97579769,128.95031704
경상북도 영천시 망정동 189-6번지,35.97531802,128.94952637
경상북도 영천시 망정동 189-8번지,35.97536546,128.95002217
경상북도 영천시 망정동 189-15번지,35.97532911,128.94979191
경상북도 영천시 망정동 191번지,35.97536106,128.9502819
경상북도 영천시 망정동 191-3번지,35.97504813,128.95036444
경상북도 영천시 망정동 193-5번지,35.97546265,128.9511882
경상북도 영천시 망정동 193-7번지,35.97551732,128.95092915
