대지위치,사용승인일,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인일(년도),위도,경도,건물연차점수,지상층수_점수,지하층수_점수,비상용승강기_점수,주용도_점수,구조코드_점수,소화전거리,소방서거리,소화전거리_점수,소방관서거리_점수,total_score
경상북도 영천시 신녕면 완전리 852-108번지,19850119,1,0,0,벽돌구조,시멘트벽돌,단독주택,0,1985,36.03893712,128.7887326,4,0,0,5,2,4,121.3995562,1055.685853,5,2,22
경상북도 영천시 신녕면 완전리 852-109번지,19841226,1,0,0,벽돌구조,시멘트벽돌조,단독주택,0,1984,36.039051,128.7887039,5,0,0,5,2,4,122.8707854,1046.790509,5,2,23
경상북도 영천시 신녕면 완전리 852-110번지,1970,1,0,0,블록구조,시멘트블록,단독주택,0,1970,36.03899673,128.7888203,5,0,0,5,2,4,112.8027893,1058.864493,4,2,22
경상북도 영천시 신녕면 완전리 852-112번지,1925,1,0,0,일반목구조,"목조, 시멘트블록",단독주택,0,1925,36.03885711,128.7889918,5,0,0,5,2,5,100.2833616,1080.160274,4,2,23
경상북도 영천시 신녕면 완전리 852-113번지,1971,1,0,0,블록구조,시멘트블록,단독주택,0,1971,36.03893978,128.7889891,5,0,0,5,2,4,98.56704283,1075.107655,4,2,22
경상북도 영천시 신녕면 완전리 852-114번지,20090915,1,0,6.45,경량철골구조,경량철골구조,단독주택,0,2009,36.03905248,128.7890148,2,0,0,5,2,2,94.93003161,1070.586563,4,2,17
경상북도 영천시 신녕면 완전리 852-115번지,20090812,1,0,4.5,벽돌구조,시멘트벽돌조,단독주택,0,2009,36.03907169,128.7892068,2,0,0,5,2,4,77.59951819,1084.35411,3,2,18
경상북도 영천시 신녕면 완전리 852-119번지,20200723,1,0,5.4,경량철골구조,경량철골구조,단독주택,0,2020,36.03926295,128.7895176,1,0,0,5,2,2,52.73699258,1098.196361,2,2,14
경상북도 영천시 신녕면 완전리 852-120번지,20170914,1,0,5.9,강파이프구조,강파이프구조,창고시설,0,2017,36.03931595,128.7892995,1,0,0,5,8,2,72.9932335,1078.167022,3,2,21
경상북도 영천시 신녕면 완전리 852-122번지,1960,1,0,0,블록구조,시멘트블록,공장,0,1960,36.03920746,128.7890517,5,0,0,5,8,4,92.46410795,1064.70417,4,2,28
경상북도 영천시 신녕면 완전리 852-123번지,1945,1,0,0,일반목구조,목조,단독주택,0,1945,36.03934912,128.7889969,5,0,0,5,2,5,100.4384378,1052.61149,4,2,23
경상북도 영천시 신녕면 완전리 852-124번지,1926,1,0,0,일반목구조,목조,단독주택,0,1926,36.03922531,128.788882,5,0,0,5,2,5,107.8480837,1050.519704,4,2,23
경상북도 영천시 신녕면 완전리 852-125번지,19850228,2,0,0,벽돌구조,시멘벽돌,단독주택,0,1985,36.03926094,128.7887348,4,1,0,5,2,4,121.5250572,1037.102877,5,2,23
경상북도 영천시 신녕면 완전리 852-129번지,20091208,1,0,6,강파이프구조,강파이프조,창고시설,0,2009,36.03951369,128.7886144,2,0,0,5,8,2,137.8571958,1013.66804,5,2,24
경상북도 영천시 신녕면 완전리 852-129번지,20091208,1,0,6,블록구조,시멘트블럭조,제2종근린생활시설,0,2009,36.03951369,128.7886144,2,0,0,5,6,4,137.8571958,1013.66804,5,2,24
경상북도 영천시 신녕면 완전리 852-129번지,19990928,1,0,6,일반목구조,목조,제2종근린생활시설,0,1999,36.03951369,128.7886144,3,0,0,5,6,5,137.8571958,1013.66804,5,2,26
경상북도 영천시 신녕면 완전리 852-130번지,19921202,1,0,0,벽돌구조,조적조(시멘트벽돌),단독주택,0,1992,36.03957394,128.7887497,4,0,0,5,2,4,128.0787132,1021.026632,5,2,22
경상북도 영천시 신녕면 완전리 852-131번지,1974,1,0,0,일반목구조,목조,단독주택,0,1974,36.03949888,128.7889248,5,0,0,5,2,5,110.5304775,1038.848594,4,2,23
경상북도 영천시 신녕면 완전리 852-131번지,1974,1,0,0,블록구조,시멘트블록조,단독주택,0,1974,36.03949888,128.7889248,5,0,0,5,2,4,110.5304775,1038.848594,4,2,22
경상북도 영천시 신녕면 완전리 852-133번지,20090928,1,0,4.5,벽돌구조,시멘트벽돌조,단독주택,0,2009,36.03957082,128.7890674,2,0,0,5,2,4,101.2676189,1046.306967,4,2,19
경상북도 영천시 신녕면 완전리 852-134번지,20141204,1,0,3.9,블록구조,블록구조,단독주택,0,2014,36.03956478,128.7892364,2,0,0,5,2,4,87.23149622,1060.054556,3,2,18
경상북도 영천시 신녕면 완전리 852-135번지,1981,1,0,0,블록구조,시멘트블럭조,단독주택,0,1981,36.03948278,128.7894357,5,0,0,5,2,4,67.12626024,1080.158123,3,2,21
경상북도 영천시 신녕면 완전리 852-135번지,19910628,1,0,0,일반목구조,목조,창고시설,0,1991,36.03948278,128.7894357,4,0,0,5,8,5,67.12626024,1080.158123,3,2,27
경상북도 영천시 신녕면 완전리 852-137번지,1875,1,0,0,블록구조,"목조, 시멘트블록",단독주택,0,1875,36.03951548,128.7896599,5,0,0,5,2,4,52.34240684,1096.384569,2,2,20
경상북도 영천시 신녕면 완전리 852-156번지,20090427,1,0,4.5,경량철골구조,경량철골구조,단독주택,0,2009,36.03877019,128.789973,2,0,0,5,2,2,36.52062933,1160.754779,2,2,15
경상북도 영천시 신녕면 완전리 852-159번지,1966,1,0,0,블록구조,시멘트블록,단독주택,0,1966,36.03753706,128.7895381,5,0,0,5,2,4,43.32919777,1203.584077,2,2,20
경상북도 영천시 신녕면 완전리 852-165번지,20091012,1,0,5.1,벽돌구조,벽돌구조,단독주택,0,2009,36.0382812,128.7893614,2,0,0,5,2,4,79.77668662,1142.842313,3,2,18
경상북도 영천시 신녕면 완전리 852-168번지,19990322,1,0,0,강파이프구조,철파이프,창고시설,0,1999,36.03825506,128.7898869,3,0,0,5,8,2,49.51067725,1183.96088,2,2,22
