일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000012705,경주소방서 경주 동부 지상 54,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 308-18,35.83552933,129.2096252
1000012718,경주소방서 경주 동부 지상 55,소화용수시설 소화전(지상식),사용가,경상북도 경주시 사정동 115-1 ,35.83478928,129.2077942
1000012714,경주소방서 경주 동부 지상 56,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 226-3 ,35.83445358,129.2112274
1000012701,경주소방서 경주 동부 지상 57,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 187-2 ,35.83421326,129.2144165
1000012713,경주소방서 경주 동부 지상 58,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 177-2 ,35.83433151,129.212738
1000012645,경주소방서 경주 동부 지상 59,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 620-518 ,35.85644913,129.2047882
1000012612,경주소방서 경주 동부 지상 6,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서부동 206-1 ,35.84601212,129.2082214
1000012648,경주소방서 경주 동부 지상 60,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 620-84 ,35.85546112,129.2103577
1000012657,경주소방서 경주 동부 지상 61,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 631 ,35.85408783,129.2086487
1000012656,경주소방서 경주 동부 지상 62,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 633-14 ,35.85386276,129.2108765
1000012658,경주소방서 경주 동부 지상 63,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 642 ,35.85308838,129.2085571
1000012655,경주소방서 경주 동부 지상 64,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 636-43 ,35.85294724,129.2120972
